lot_number,component_code,component_name,component_lot,quantity_issued,quantity_consumed,quantity_returned,notes
1011174635,CART-B2M-001,Sensor Cartridges NEXUS B2M,CART-B2M-2025-05-001,2517,2417,100,
1011174635,CARD-B2M-001,Reagent Card NEXUS B2M,CARD-B2M-2025-05-001,2467,2417,50,
1011174636,CART-B2M-001,Sensor Cartridges NEXUS B2M,CART-B2M-2025-05-001,2654,2554,100,
1011174636,CARD-B2M-001,Reagent Card NEXUS B2M,CARD-B2M-2025-05-001,2604,2554,50,
1011174637,CART-B2M-001,Sensor Cartridges NEXUS B2M,CART-B2M-2025-05-001,2630,2530,100,
1011174637,CARD-B2M-001,Reagent Card NEXUS B2M,CARD-B2M-2025-05-001,2580,2530,50,
1011174638,CART-B2M-001,Sensor Cartridges NEXUS B2M,CART-B2M-2025-05-001,2587,2487,100,
1011174638,CARD-B2M-001,Reagent Card NEXUS B2M,CARD-B2M-2025-05-001,2537,2487,50,
1011174639,CART-B2M-001,Sensor Cartridges NEXUS B2M,CART-B2M-2025-06-001,2586,2486,100,
1011174639,CARD-B2M-001,Reagent Card NEXUS B2M,CARD-B2M-2025-06-001,2536,2486,50,
1011174640,CART-B2M-001,Sensor Cartridges NEXUS B2M,CART-B2M-2025-06-001,2671,0,2671,Cartridges issued but returned unused - wrong cartridges assembled
1011174640,CART-CKMB-001,Sensor Cartridges NEXUS CK MB,CART-CKMB-2025-07-003,0,2571,0,CK MB cartridges consumed on B2M line - not in BOM
1011174640,CARD-B2M-001,Reagent Card NEXUS B2M,CARD-B2M-2025-06-001,2621,2571,50,
1011174641,CART-B2M-001,Sensor Cartridges NEXUS B2M,CART-B2M-2025-06-001,2517,2417,100,
1011174641,CARD-B2M-001,Reagent Card NEXUS B2M,CARD-B2M-2025-06-001,2467,2417,50,
1011174642,CART-B2M-001,Sensor Cartridges NEXUS B2M,CART-B2M-2025-06-001,2639,2539,100,
1011174642,CARD-B2M-001,Reagent Card NEXUS B2M,CARD-B2M-2025-06-001,2589,2539,50,
1011174643,CART-B2M-001,Sensor Cartridges NEXUS B2M,CART-B2M-2025-07-001,2540,2440,100,
1011174643,CARD-B2M-001,Reagent Card NEXUS B2M,CARD-B2M-2025-07-001,2490,2440,50,
1011174644,CART-B2M-001,Sensor Cartridges NEXUS B2M,CART-B2M-2025-07-001,2518,2418,100,
1011174644,CARD-B2M-001,Reagent Card NEXUS B2M,CARD-B2M-2025-07-001,2468,2418,50,
1011174645,CART-B2M-001,Sensor Cartridges NEXUS B2M,CART-B2M-2025-07-001,2605,2505,100,
1011174645,CARD-B2M-001,Reagent Card NEXUS B2M,CARD-B2M-2025-07-001,2555,2505,50,
1011174646,CART-B2M-001,Sensor Cartridges NEXUS B2M,CART-B2M-2025-07-001,2695,2595,100,
1011174646,CARD-B2M-001,Reagent Card NEXUS B2M,CARD-B2M-2025-07-001,2645,2595,50,
